creator_id,market,language,category,followers,avg_views,engagement_rate,follower_growth_30d,videos_30d,campaign_participation_90d,response_rate,conversion_rate,last_active_days
creator_289,France,French,Fashion,14066,44215,0.1145,0.1133,25,3,0.5936,0.0436,6
creator_290,Spain,Spanish,Fitness,138644,163658,0.042,-0.0167,4,7,0.4306,0.0044,10
creator_291,Germany,German,Food,32406,24190,0.0536,0.0885,22,4,0.767,0.0207,10
creator_292,Poland,Polish,Beauty,48397,49196,0.0864,0.0799,27,11,0.7375,0.0333,3
creator_293,Germany,German,Fitness,48262,39541,0.038,-0.0096,9,3,0.8208,0.0273,7
creator_294,UK,English,Lifestyle,15739,44355,0.1079,0.0643,22,10,0.8114,0.058,1
creator_295,Germany,German,Fitness,12604,10980,0.0931,0.0398,22,3,0.6633,0.0686,4
creator_296,Spain,Spanish,Beauty,183149,388028,0.0539,0.0441,20,5,0.5524,0.0081,6
creator_297,Germany,German,Fitness,158133,252943,0.0835,0.0376,9,4,0.8562,0.0303,8
creator_298,France,French,Food,46652,22841,0.0416,0.0657,10,2,0.8875,0.0335,2
creator_299,UK,English,Fashion,172423,270422,0.0431,0.0495,13,6,0.8614,0.0083,6
creator_300,France,French,Food,245206,173972,0.0654,-0.0986,12,4,0.4938,0.0239,10
